year,run,addiction_rate,mean_debt,pct_over_50
2015,6,0.852,3355.796365420638,0.675
2016,6,0.868,3698.4229871976613,0.698
2017,6,0.875,4033.563005870527,0.72
2018,6,0.888,4384.439566036157,0.738
2019,6,0.897,4746.954131465942,0.757
2020,6,0.909,5116.702882536665,0.769
2021,6,0.922,5502.632576434288,0.777
2022,6,0.934,5907.267270179402,0.797
2023,6,0.947,6300.002888324945,0.808
2024,6,0.953,6697.083177423796,0.816
2025,6,0.959,7093.036765296021,0.825
1995,7,0.108,16.46508316921787,0.0
1996,7,0.208,45.83102736859916,0.0
1997,7,0.298,92.32504876654511,0.01
1998,7,0.367,145.54104900779907,0.029
1999,7,0.423,204.91324866551818,0.052
2000,7,0.478,276.7833733523779,0.087
2001,7,0.535,367.9249991834104,0.119
2002,7,0.574,481.91479264539674,0.159
2003,7,0.614,608.7043605318763,0.201
2004,7,0.651,750.0051071460292,0.258
2005,7,0.675,906.1577563401926,0.312
2006,7,0.696,1081.9468853247731,0.37
2007,7,0.717,1267.7572369468771,0.423
2008,7,0.741,1470.6067084336119,0.463
2009,7,0.76,1677.380332181886,0.504
2010,7,0.774,1903.8295147395945,0.545
2011,7,0.794,2160.435870838302,0.574
2012,7,0.814,2431.537603598481,0.609
2013,7,0.836,2707.8478520328968,0.629
2014,7,0.844,2996.5076186780984,0.658
2015,7,0.859,3313.5311333626814,0.689
2016,7,0.882,3645.2061234351677,0.713
2017,7,0.891,3988.6700813229504,0.743
2018,7,0.9,4339.11568056944,0.76
2019,7,0.913,4700.979091804933,0.781
2020,7,0.922,5068.07879400156,0.796
2021,7,0.929,5450.2639325605305,0.813
2022,7,0.934,5832.56886126008,0.817
2023,7,0.942,6215.5594312397325,0.833
2024,7,0.948,6614.535492160171,0.846
2025,7,0.954,7000.702386651434,0.856
1995,8,0.093,10.48215991635732,0.0
1996,8,0.173,26.8016908239987,0.003
1997,8,0.239,55.44363077182327,0.007
1998,8,0.32,96.16036813508606,0.015
1999,8,0.383,155.78820982685895,0.034
2000,8,0.436,224.88617799323094,0.051
2001,8,0.488,305.0633207538501,0.091
2002,8,0.534,401.509210337062,0.126
2003,8,0.568,519.9569441193858,0.161
2004,8,0.604,652.6401974743011,0.219
2005,8,0.637,807.1979847626833,0.271
2006,8,0.666,963.1883761014496,0.329
2007,8,0.695,1140.9976639814595,0.381
2008,8,0.718,1332.5192505776126,0.433
2009,8,0.736,1535.609637547111,0.486
2010,8,0.764,1765.7048682954116,0.517
2011,8,0.788,2016.9029429004813,0.559
2012,8,0.809,2265.6870905446763,0.584
2013,8,0.823,2531.353157942992,0.608
2014,8,0.846,2821.123225255714,0.644
2015,8,0.861,3116.7620993697133,0.663
2016,8,0.875,3438.0192226025815,0.69
2017,8,0.885,3749.129957995375,0.714
2018,8,0.895,4089.825761142191,0.729
2019,8,0.902,4442.645460096566,0.743
2020,8,0.909,4809.574169294145,0.763
2021,8,0.917,5174.250606089096,0.79
2022,8,0.93,5555.663131582722,0.803
2023,8,0.941,5947.232066694034,0.821
2024,8,0.943,6339.988165092871,0.826
2025,8,0.95,6721.428872610986,0.834
1995,9,0.118,12.040061067290596,0.0
